会場コード,会場,日付,レース,締切時刻,艇番,登番,選手名,年齢,支部,体重,級別,全国勝率,全国2率,当地勝率,当地2率,M番,M2率,B番,B2率,今節成績,早見
01,桐生,2025/05/18,3,16:09,6,3664,鈴木賢一,55,埼玉,58,B1,4.85,33.64,4.22,32.6,47,37.33,66,17.86,2,8
01,桐生,2025/05/18,4,16:32,1,4156,浜野孝志,44,三重,56,B1,6.09,45.59,5.52,29.0,53,32.14,39,20.73,24,
01,桐生,2025/05/18,4,16:32,2,5240,高橋龍治,24,福岡,54,B1,3.92,20.20,5.25,25.0,33,43.94,15,29.55,5,8
01,桐生,2025/05/18,4,16:32,3,4866,橋本英一,35,福岡,56,B1,4.49,26.04,4.58,26.9,56,39.60,31,24.74,46,
01,桐生,2025/05/18,4,16:32,4,4710,福田宗平,35,大阪,53,A2,6.15,44.79,6.47,52.9,66,40.00,63,24.42,64,9
01,桐生,2025/05/18,4,16:32,5,3939,渡辺真至,47,愛知,54,A2,6.40,43.21,6.39,39.1,50,28.95,46,39.36,3,12
01,桐生,2025/05/18,4,16:32,6,4586,磯部　誠,34,愛知,55,A1,7.35,50.00,4.50,25.0,45,48.19,48,28.24,21,10
01,桐生,2025/05/18,5,17:01,1,3589,西村　勝,51,埼玉,56,B1,4.46,23.81,5.00,35.7,59,31.17,29,35.05,22,
01,桐生,2025/05/18,5,17:01,2,4492,本多宏和,38,愛知,50,A1,5.44,35.90,6.33,33.3,28,37.84,20,34.07,1,10
01,桐生,2025/05/18,5,17:01,3,4551,三川昂暁,36,福岡,55,A2,5.43,36.17,6.70,60.0,51,46.91,71,15.19,23,
01,桐生,2025/05/18,5,17:01,4,4543,重木輝彦,37,兵庫,52,A1,6.50,43.75,6.20,40.0,38,44.29,37,34.41,16,
01,桐生,2025/05/18,5,17:01,5,5377,鳥居塚嶺,21,群馬,49,B2,2.02,0.00,2.00,0.0,34,31.11,64,25.33,6,
01,桐生,2025/05/18,5,17:01,6,4060,島田一生,46,福岡,55,B1,4.66,27.59,4.33,20.8,32,27.63,58,36.17,1,11
01,桐生,2025/05/18,6,17:27,1,4073,大橋純一,44,静岡,52,A1,6.25,43.88,5.80,43.1,19,28.85,70,42.86,62,
01,桐生,2025/05/18,6,17:27,2,3630,黒田誠司,55,静岡,56,B1,2.77,10.26,3.66,11.4,12,46.81,12,35.11,5,1
01,桐生,2025/05/18,6,17:27,3,3406,中里英夫,56,群馬,53,B1,5.61,31.82,5.85,41.6,39,38.36,49,28.00,5,10
01,桐生,2025/05/18,6,17:27,4,5341,山道諄也,23,群馬,56,B2,1.54,0.00,1.65,0.0,58,33.33,22,23.26,6,2
01,桐生,2025/05/18,6,17:27,5,4779,伊倉　光,39,東京,53,B1,4.60,23.47,4.64,16.0,54,34.15,38,30.53,44,
01,桐生,2025/05/18,6,17:27,6,3268,森　竜也,60,三重,54,B2,4.21,24.59,5.61,38.7,23,31.08,51,36.26,1,11
01,桐生,2025/05/18,7,17:54,1,3792,田中　豪,52,東京,54,A2,6.48,47.83,6.30,47.8,14,35.63,60,26.58,23,11
01,桐生,2025/05/18,7,17:54,2,4005,瀬川公則,47,山口,58,B1,3.20,9.23,2.40,6.6,36,44.19,30,44.21,1,3
01,桐生,2025/05/18,7,17:54,3,5141,大澤風葵,24,群馬,52,A1,6.37,57.14,6.06,48.0,20,46.91,17,33.33,34,12
01,桐生,2025/05/18,7,17:54,4,4683,向井田直,34,広島,46,B1,5.30,32.08,2.11,0.0,52,47.78,35,31.87,55,
01,桐生,2025/05/18,7,17:54,5,3797,岩井　繁,51,広島,61,B1,3.46,10.13,2.44,0.0,16,48.81,74,25.00,5,2
01,桐生,2025/05/18,7,17:54,6,5402,塚越陸斗,22,群馬,55,B2,0.00,0.00,0.00,0.0,25,47.83,57,36.17,6,
01,桐生,2025/05/18,8,18:20,1,4486,野村　誠,39,群馬,52,A2,6.52,49.55,5.93,40.7,64,34.83,40,40.00,43,2
01,桐生,2025/05/18,8,18:20,2,5313,鈴木唯央,24,群馬,52,B1,3.39,7.59,2.24,5.6,15,27.27,53,42.71,6,1
01,桐生,2025/05/18,8,18:20,3,5240,高橋龍治,24,福岡,54,B1,3.92,20.20,5.25,25.0,33,43.94,15,29.55,5,4
01,桐生,2025/05/18,8,18:20,4,3664,鈴木賢一,55,埼玉,58,B1,4.85,33.64,4.22,32.6,47,37.33,66,17.86,2,3
01,桐生,2025/05/18,8,18:20,5,3811,石田章央,49,静岡,55,A1,5.87,41.32,6.13,40.3,55,32.39,62,36.17,1,12
01,桐生,2025/05/18,8,18:20,6,3809,吉田　光,49,佐賀,51,B1,4.70,20.99,6.06,44.4,30,51.76,42,40.22,34,
01,桐生,2025/05/18,9,18:51,1,4710,福田宗平,35,大阪,53,A2,6.15,44.79,6.47,52.9,66,40.00,63,24.42,64,4
01,桐生,2025/05/18,9,18:51,2,5243,三馬崇史,24,広島,53,B1,4.70,28.68,0.00,0.0,70,35.35,14,38.30,51,
01,桐生,2025/05/18,9,18:51,3,4888,金児隆太,37,群馬,52,A2,6.26,44.80,5.81,36.7,73,28.99,13,34.25,S6,3
01,桐生,2025/05/18,9,18:51,4,4158,木場雄二,43,山口,58,B1,4.45,23.89,5.33,33.3,67,32.81,45,36.56,46,
01,桐生,2025/05/18,9,18:51,5,4356,長岡良也,41,兵庫,52,A2,6.99,55.26,5.83,35.4,40,36.23,26,37.50,36,
01,桐生,2025/05/18,9,18:51,6,4488,小山　勉,38,埼玉,53,A1,6.58,52.10,6.43,49.3,71,40.00,24,38.95,23,2
01,桐生,2025/05/18,10,19:23,1,4492,本多宏和,38,愛知,50,A1,5.44,35.90,6.33,33.3,28,37.84,20,34.07,1,5
01,桐生,2025/05/18,10,19:23,2,3406,中里英夫,56,群馬,53,B1,5.61,31.82,5.85,41.6,39,38.36,49,28.00,5,6
01,桐生,2025/05/18,10,19:23,3,4053,芦澤　望,47,東京,56,A2,5.84,41.11,5.31,32.6,29,40.00,32,33.33,11,1
01,桐生,2025/05/18,10,19:23,4,4586,磯部　誠,34,愛知,55,A1,7.35,50.00,4.50,25.0,45,48.19,48,28.24,21,4
01,桐生,2025/05/18,10,19:23,5,3880,浅見宗孝,52,埼玉,54,B1,4.64,27.27,4.53,26.6,69,34.72,34,34.38,13,
01,桐生,2025/05/18,10,19:23,6,4572,渡部　悟,36,大阪,57,A2,4.82,24.30,8.30,80.0,42,25.35,16,21.33,33,3
01,桐生,2025/05/18,11,20:02,1,5026,安河内健,29,佐賀,55,A1,7.03,54.55,4.63,25.0,13,33.73,44,28.24,35,3
01,桐生,2025/05/18,11,20:02,2,4118,宇佐見淳,44,愛知,53,A2,6.27,49.41,5.00,26.8,49,34.88,68,34.41,45,
01,桐生,2025/05/18,11,20:02,3,3268,森　竜也,60,三重,54,B2,4.21,24.59,5.61,38.7,23,31.08,51,36.26,1,6
01,桐生,2025/05/18,11,20:02,4,4060,島田一生,46,福岡,55,B1,4.66,27.59,4.33,20.8,32,27.63,58,36.17,1,5
01,桐生,2025/05/18,11,20:02,5,3792,田中　豪,52,東京,54,A2,6.48,47.83,6.30,47.8,14,35.63,60,26.58,23,7
01,桐生,2025/05/18,11,20:02,6,4436,渋谷明憲,39,大阪,52,A1,5.95,44.44,6.69,50.0,31,36.23,55,35.05,12,1
01,桐生,2025/05/18,12,20:34,1,5141,大澤風葵,24,群馬,52,A1,6.37,57.14,6.06,48.0,20,46.91,17,33.33,34,7
01,桐生,2025/05/18,12,20:34,2,4059,入澤友治,46,東京,55,A2,5.65,44.55,4.73,33.3,62,30.56,50,30.30,4,2
01,桐生,2025/05/18,12,20:34,3,3811,石田章央,49,静岡,55,A1,5.87,41.32,6.13,40.3,55,32.39,62,36.17,1,8
01,桐生,2025/05/18,12,20:34,4,4062,後藤陽介,45,愛知,58,B1,5.47,36.08,4.81,30.2,41,28.24,65,33.33,5,3
01,桐生,2025/05/18,12,20:34,5,5239,上野俊樹,25,福岡,52,B1,5.33,26.92,0.00,0.0,26,32.10,69,18.42,2,1
01,桐生,2025/05/18,12,20:34,6,3939,渡辺真至,47,愛知,54,A2,6.40,43.21,6.39,39.1,50,28.95,46,39.36,3,4
